EmployeeNumber,Age,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobLevel,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,StandardHours,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
626,37,Sales,9,4,Medical,Male,Sales Executive,3,Divorced,8834,24666,1,1,80,1,9,9,5,7,7
630,52,Research & Development,6,2,Technical Degree,Male,Research Scientist,2,Divorced,5577,22087,3,1,80,2,18,10,9,6,9
631,32,Sales,11,4,Other,Male,Sales Executive,2,Married,4707,23914,8,1,80,0,6,4,2,1,2
632,24,Sales,24,3,Medical,Male,Sales Representative,1,Married,2400,5530,0,1,80,2,3,2,2,2,1
634,38,Research & Development,10,3,Medical,Female,Healthcare Representative,2,Married,9824,22174,3,1,80,1,18,1,0,0,0
635,37,Research & Development,1,4,Life Sciences,Female,Manufacturing Director,2,Married,6447,15701,6,1,80,1,8,6,5,4,3
638,49,Research & Development,18,4,Life Sciences,Male,Research Director,5,Divorced,19502,2125,1,1,80,1,31,31,9,0,9
639,24,Research & Development,23,3,Medical,Male,Research Scientist,1,Married,2725,21630,1,1,80,2,6,6,5,1,4
641,26,Sales,28,2,Marketing,Male,Sales Executive,2,Married,6272,7428,1,1,80,2,6,5,3,1,4
643,24,Research & Development,17,2,Other,Male,Laboratory Technician,1,Married,2127,9100,1,1,80,1,1,1,0,0,0
644,50,Human Resources,3,3,Medical,Male,Manager,5,Married,18200,7999,1,1,80,1,32,32,5,10,7
645,25,Sales,13,1,Medical,Male,Sales Representative,1,Married,2096,26376,1,1,80,0,7,7,4,0,6
647,24,Research & Development,7,3,Life Sciences,Female,Laboratory Technician,1,Married,2886,14168,1,1,80,1,6,6,3,1,2
648,30,Sales,12,4,Life Sciences,Male,Sales Representative,1,Married,2033,14470,1,1,80,1,1,1,0,0,0
649,34,Research & Development,1,2,Life Sciences,Male,Research Scientist,1,Married,3622,22794,1,1,80,1,6,6,5,1,3
650,31,Sales,13,4,Medical,Male,Sales Executive,2,Divorced,4233,11512,2,1,80,0,9,3,1,1,2
652,35,Research & Development,25,2,Other,Male,Laboratory Technician,2,Single,3681,14004,4,1,80,0,9,3,2,0,2
653,31,Sales,6,4,Medical,Male,Sales Executive,2,Divorced,5460,6219,4,1,80,2,13,7,7,5,7
655,27,Research & Development,6,4,Medical,Female,Research Scientist,1,Divorced,2187,5013,0,1,80,2,6,5,3,0,3
656,37,Sales,2,3,Marketing,Male,Sales Executive,2,Married,9602,3010,4,1,80,1,17,3,0,1,0
657,20,Research & Development,1,3,Life Sciences,Female,Research Scientist,1,Single,2836,11757,1,1,80,0,1,1,0,0,0
659,42,Research & Development,2,4,Life Sciences,Female,Healthcare Representative,2,Married,4089,5718,1,1,80,2,10,10,2,2,2
661,43,Research & Development,6,4,Other,Male,Research Director,4,Divorced,16627,2671,4,1,80,1,21,1,0,0,0
662,38,Research & Development,1,1,Life Sciences,Female,Research Scientist,1,Single,2619,14561,3,1,80,0,8,0,0,0,0
663,43,Research & Development,9,5,Medical,Male,Laboratory Technician,2,Divorced,5679,19627,3,1,80,1,10,8,7,4,7
664,48,Research & Development,1,4,Life Sciences,Female,Manager,4,Married,15402,17997,7,1,80,1,21,3,2,0,2
665,44,Human Resources,1,4,Life Sciences,Female,Human Resources,2,Single,5985,26894,4,1,80,0,10,2,2,0,2
666,34,Sales,14,3,Technical Degree,Female,Sales Representative,1,Divorced,2579,2912,1,1,80,2,8,8,2,0,6
667,27,Sales,2,1,Marketing,Male,Sales Representative,1,Divorced,3041,16346,0,1,80,1,5,4,3,0,2
669,21,Sales,22,1,Technical Degree,Male,Sales Representative,1,Single,3447,24444,1,1,80,0,3,3,2,1,2
671,44,Research & Development,3,4,Other,Male,Manager,5,Married,19513,9358,4,1,80,1,26,2,2,0,1
675,22,Research & Development,6,1,Medical,Male,Research Scientist,1,Married,2773,12145,0,1,80,0,3,2,2,2,2
677,33,Sales,8,4,Marketing,Male,Sales Executive,2,Divorced,7104,20431,0,1,80,0,6,5,0,1,2
679,32,Research & Development,9,4,Life Sciences,Female,Research Scientist,2,Married,6322,18089,1,1,80,1,6,6,4,0,5
680,30,Research & Development,3,3,Medical,Female,Research Scientist,1,Divorced,2083,22653,1,1,80,1,1,1,0,0,0
682,53,Sales,1,1,Medical,Female,Sales Executive,2,Single,8381,7507,7,1,80,0,18,14,7,8,10
683,34,Research & Development,1,5,Life Sciences,Male,Research Scientist,1,Married,2691,7660,1,1,80,1,10,10,9,8,8
684,45,Sales,26,4,Life Sciences,Female,Sales Executive,2,Married,4286,5630,2,1,80,2,5,1,1,0,0
686,26,Research & Development,6,3,Life Sciences,Female,Laboratory Technician,1,Married,2659,17759,1,1,80,1,3,3,2,0,2
689,37,Research & Development,3,3,Other,Male,Manufacturing Director,3,Married,9434,9606,1,1,80,1,10,10,7,7,8
690,29,Sales,3,2,Medical,Female,Sales Executive,2,Married,5561,3487,1,1,80,1,6,6,0,1,2
691,35,Research & Development,6,4,Life Sciences,Male,Research Scientist,2,Single,6646,19368,1,1,80,0,17,17,11,11,8
692,33,Research & Development,6,3,Life Sciences,Male,Healthcare Representative,2,Divorced,7725,5335,3,1,80,1,15,13,11,4,7
698,54,Human Resources,19,4,Medical,Male,Human Resources,3,Married,10725,6729,2,1,80,1,16,9,7,7,1
699,36,Research & Development,9,2,Medical,Male,Manufacturing Director,2,Divorced,8847,13934,2,1,80,1,13,3,2,0,2
700,27,Research & Development,3,4,Medical,Male,Research Scientist,1,Single,2045,15174,0,1,80,0,5,4,2,1,1
701,20,Research & Development,10,1,Medical,Male,Research Scientist,1,Single,1009,26999,1,1,80,0,1,1,0,1,1
702,33,Research & Development,3,3,Life Sciences,Male,Research Scientist,1,Single,3348,3164,1,1,80,0,10,10,8,9,7
704,35,Research & Development,3,3,Life Sciences,Male,Laboratory Technician,1,Married,1281,16900,1,1,80,2,1,1,0,0,0
705,23,Research & Development,4,3,Medical,Male,Research Scientist,1,Married,2819,8544,2,1,80,1,5,3,2,0,2
707,25,Sales,8,3,Life Sciences,Male,Sales Executive,2,Married,4851,15678,0,1,80,1,4,3,2,1,2
709,38,Sales,7,4,Marketing,Female,Sales Executive,2,Single,4028,7791,0,1,80,0,8,7,7,0,5
710,29,Research & Development,1,4,Life Sciences,Male,Research Scientist,1,Divorced,2720,18959,1,1,80,1,10,10,7,2,8
712,48,Sales,2,1,Marketing,Male,Sales Executive,2,Married,8120,18597,3,1,80,0,12,2,2,2,2
714,27,Sales,3,1,Medical,Female,Sales Executive,2,Divorced,4647,16673,1,1,80,2,6,6,5,0,4
715,37,Research & Development,10,2,Life Sciences,Male,Research Scientist,1,Single,4680,15232,3,1,80,0,4,1,0,0,0
716,50,Research & Development,28,1,Medical,Male,Laboratory Technician,1,Married,3221,3297,1,1,80,3,20,20,8,3,8
717,34,Research & Development,9,3,Medical,Female,Healthcare Representative,3,Single,8621,17654,1,1,80,0,9,8,7,7,7
720,24,Sales,3,2,Life Sciences,Female,Sales Executive,2,Single,4577,24785,9,1,80,0,4,2,2,2,0
721,39,Research & Development,2,4,Technical Degree,Female,Healthcare Representative,2,Single,4553,20978,1,1,80,0,20,20,7,11,10
722,32,Sales,10,3,Marketing,Male,Sales Executive,2,Single,5396,21703,1,1,80,0,10,10,7,0,8
723,50,Sales,8,2,Technical Degree,Male,Sales Executive,2,Married,6796,23452,3,1,80,1,18,4,3,1,3
724,38,Research & Development,1,4,Life Sciences,Female,Healthcare Representative,2,Single,7625,19383,0,1,80,0,10,9,7,1,8
725,27,Research & Development,1,2,Life Sciences,Female,Manufacturing Director,3,Married,7412,6009,1,1,80,0,9,9,7,0,7
727,32,Research & Development,3,2,Life Sciences,Female,Research Director,3,Single,11159,19373,3,1,80,0,10,7,7,7,7
728,47,Sales,14,4,Marketing,Male,Sales Executive,2,Single,4960,11825,2,1,80,0,20,7,7,1,7
729,40,Sales,5,4,Life Sciences,Male,Sales Executive,3,Married,10475,23772,5,1,80,1,20,18,13,1,12
730,53,Research & Development,7,3,Life Sciences,Male,Research Director,4,Married,14814,13514,3,1,80,0,32,5,1,1,3
731,41,Human Resources,10,4,Human Resources,Male,Manager,5,Divorced,19141,8861,3,1,80,3,23,21,6,12,6
732,60,Sales,16,4,Marketing,Male,Sales Executive,2,Single,5405,11924,8,1,80,0,10,2,2,2,2
733,27,Research & Development,10,2,Life Sciences,Male,Manufacturing Director,3,Divorced,8793,4809,1,1,80,2,9,9,7,1,7
734,41,Human Resources,1,3,Human Resources,Male,Manager,5,Married,19189,19562,1,1,80,1,22,22,7,2,10
738,50,Sales,8,4,Marketing,Male,Sales Representative,1,Married,3875,9983,7,1,80,1,4,2,2,2,2
741,28,Research & Development,1,2,Life Sciences,Female,Research Scientist,1,Single,2216,3872,7,1,80,0,10,7,7,3,7
742,36,Research & Development,8,3,Life Sciences,Female,Research Director,3,Married,11713,20335,9,1,80,1,10,8,7,0,5
743,38,Research & Development,1,3,Life Sciences,Female,Manufacturing Director,3,Single,7861,15397,4,1,80,0,10,1,0,0,0
744,44,Research & Development,24,3,Medical,Male,Laboratory Technician,1,Single,3708,2104,2,1,80,0,9,5,2,1,4
746,47,Sales,3,3,Medical,Female,Sales Executive,4,Divorced,13770,10225,9,1,80,2,28,22,2,11,13
747,30,Sales,27,5,Marketing,Male,Sales Executive,2,Divorced,5304,25275,7,1,80,1,10,8,7,7,7
749,29,Sales,10,3,Life Sciences,Male,Sales Representative,1,Single,2642,2755,1,1,80,0,1,1,0,0,0
752,42,Research & Development,19,3,Medical,Male,Research Scientist,1,Divorced,2759,20366,6,1,80,0,7,2,2,2,2
754,43,Sales,15,3,Life Sciences,Male,Sales Executive,2,Married,6804,23683,3,1,80,1,7,2,2,2,2
757,34,Research & Development,8,2,Medical,Female,Healthcare Representative,2,Single,6142,7360,3,1,80,0,10,5,1,4,3
758,23,Research & Development,9,1,Medical,Male,Laboratory Technician,1,Married,2500,4344,1,1,80,1,5,4,3,0,2
760,39,Human Resources,3,3,Human Resources,Female,Human Resources,2,Married,6389,18767,9,1,80,1,12,8,3,3,6
762,56,Research & Development,9,3,Medical,Male,Healthcare Representative,4,Married,11103,20420,7,1,80,0,30,10,7,1,1
763,40,Research & Development,2,1,Medical,Female,Research Scientist,1,Single,2342,22929,0,1,80,0,5,4,2,2,3
764,27,Research & Development,7,3,Medical,Female,Healthcare Representative,2,Single,6811,23398,8,1,80,0,9,7,6,0,7
766,29,Sales,10,3,Marketing,Male,Sales Representative,1,Divorced,2297,17967,1,1,80,2,2,2,2,2,2
769,53,Research & Development,6,3,Life Sciences,Male,Laboratory Technician,2,Single,2450,10919,2,1,80,0,19,2,2,2,2
771,35,Research & Development,2,4,Life Sciences,Female,Healthcare Representative,2,Divorced,5093,4761,2,1,80,1,16,1,0,0,0
772,32,Research & Development,24,4,Life Sciences,Male,Laboratory Technician,2,Married,5309,21146,1,1,80,2,10,10,8,4,7
773,38,Research & Development,2,5,Medical,Male,Research Scientist,1,Married,3057,20471,6,1,80,1,6,1,0,0,1
775,34,Research & Development,8,5,Life Sciences,Female,Manufacturing Director,2,Divorced,5121,4187,3,1,80,1,7,0,0,0,0
776,52,Sales,3,4,Marketing,Male,Manager,4,Married,16856,10084,1,1,80,0,34,34,6,1,16
780,33,Research & Development,1,4,Other,Male,Research Scientist,1,Single,2686,5207,1,1,80,0,10,10,9,7,8
781,25,Sales,26,1,Medical,Female,Sales Executive,2,Single,6180,22807,1,1,80,0,6,6,5,1,4
783,45,Sales,2,2,Technical Degree,Male,Sales Representative,2,Single,6632,12388,0,1,80,0,9,8,7,3,1
784,23,Research & Development,10,1,Medical,Male,Research Scientist,1,Single,3505,19630,1,1,80,0,2,2,2,0,2
785,47,Sales,27,2,Life Sciences,Female,Sales Executive,2,Single,6397,10339,4,1,80,0,8,5,4,1,3
786,34,Sales,2,3,Other,Male,Sales Executive,2,Single,6274,18686,1,1,80,0,6,6,5,1,4
787,55,Research & Development,2,3,Medical,Male,Manager,5,Married,19859,21199,5,1,80,1,24,5,2,1,4
789,36,Sales,8,4,Life Sciences,Male,Sales Executive,3,Single,7587,14229,1,1,80,0,10,10,7,0,9
791,52,Research & Development,19,4,Medical,Male,Research Scientist,1,Married,4258,26589,0,1,80,1,5,4,3,1,2
792,26,Research & Development,1,2,Life Sciences,Female,Laboratory Technician,1,Divorced,4364,5288,3,1,80,1,5,2,2,2,0
793,29,Research & Development,27,3,Medical,Female,Healthcare Representative,2,Married,4335,25549,4,1,80,1,11,8,7,1,1
796,26,Sales,8,3,Technical Degree,Male,Sales Executive,2,Single,5326,3064,6,1,80,0,6,4,3,1,2
797,34,Research & Development,1,4,Life Sciences,Female,Research Scientist,1,Single,3280,13551,2,1,80,0,10,4,2,1,3
799,54,Research & Development,19,4,Medical,Female,Manufacturing Director,2,Divorced,5485,22670,9,1,80,2,9,5,3,1,4
800,27,Sales,8,1,Marketing,Male,Sales Executive,2,Married,4342,24008,0,1,80,1,5,4,2,1,1
802,37,Research & Development,10,1,Life Sciences,Female,Research Scientist,1,Divorced,2782,19905,0,1,80,2,6,5,3,4,3
803,38,Research & Development,2,4,Life Sciences,Female,Manufacturing Director,2,Single,5980,26085,6,1,80,0,17,15,7,4,12
804,34,Research & Development,2,4,Medical,Female,Research Scientist,1,Single,4381,7530,1,1,80,0,6,6,5,1,3
805,35,Sales,8,4,Life Sciences,Female,Sales Representative,1,Married,2572,20317,1,1,80,1,3,3,2,0,2
806,30,Research & Development,1,3,Life Sciences,Male,Laboratory Technician,1,Married,3833,24375,3,1,80,2,7,2,2,0,2
807,40,Research & Development,2,2,Medical,Female,Healthcare Representative,2,Married,4244,9931,1,1,80,1,8,8,7,3,7
808,34,Sales,8,2,Life Sciences,Female,Sales Executive,2,Married,6500,13305,5,1,80,1,6,3,2,1,2
809,42,Research & Development,8,3,Life Sciences,Male,Manager,5,Divorced,18430,16225,1,1,80,1,24,24,7,14,9
811,23,Research & Development,6,3,Life Sciences,Male,Laboratory Technician,1,Married,1601,3445,1,1,80,2,1,0,0,0,0
812,24,Research & Development,9,3,Life Sciences,Male,Laboratory Technician,1,Divorced,2694,26551,1,1,80,3,1,1,0,0,0
813,52,Research & Development,11,4,Life Sciences,Female,Laboratory Technician,2,Married,3149,21821,8,1,80,1,9,5,2,1,4
815,50,Research & Development,2,3,Medical,Male,Research Director,4,Married,17639,6881,5,1,80,0,30,4,3,0,3
816,29,Research & Development,1,2,Life Sciences,Female,Laboratory Technician,1,Married,2319,6689,1,1,80,1,1,1,0,0,0
817,33,Research & Development,7,3,Medical,Male,Research Director,3,Married,11691,25995,0,1,80,0,14,13,9,3,7
819,33,Sales,16,3,Marketing,Female,Sales Executive,2,Single,5324,26507,5,1,80,0,6,3,2,0,2
820,47,Research & Development,2,2,Other,Female,Manager,4,Married,16752,12982,1,1,80,1,26,26,14,3,0
823,36,Research & Development,1,3,Other,Female,Manufacturing Director,2,Married,5228,23361,0,1,80,1,10,9,7,0,5
824,29,Research & Development,23,2,Life Sciences,Male,Research Scientist,1,Married,2700,23779,1,1,80,1,10,10,7,0,7
825,58,Research & Development,2,4,Life Sciences,Male,Research Director,5,Single,19246,25761,7,1,80,0,40,31,15,13,8
826,35,Research & Development,1,4,Life Sciences,Female,Research Scientist,1,Single,2506,13301,3,1,80,0,7,2,2,2,2
827,42,Research & Development,1,2,Life Sciences,Female,Manufacturing Director,2,Married,6062,4051,9,1,80,1,8,4,3,0,2
828,28,Research & Development,2,4,Medical,Male,Research Scientist,1,Single,4382,16374,6,1,80,0,5,2,2,2,1
829,36,Human Resources,13,3,Human Resources,Male,Human Resources,1,Married,2143,25527,4,1,80,1,8,5,2,0,4
830,32,Research & Development,4,3,Life Sciences,Female,Manufacturing Director,2,Married,6162,19124,1,1,80,1,14,14,13,6,8
832,40,Research & Development,16,4,Medical,Male,Laboratory Technician,2,Single,5094,11983,6,1,80,0,10,1,0,0,0
833,30,Research & Development,2,3,Medical,Female,Manufacturing Director,2,Single,6877,20234,5,1,80,0,12,0,0,0,0
834,45,Research & Development,2,3,Life Sciences,Female,Research Scientist,1,Single,2274,6153,1,1,80,0,1,1,0,0,0
836,42,Research & Development,29,3,Life Sciences,Male,Manufacturing Director,2,Married,4434,11806,1,1,80,1,10,9,8,7,8
837,38,Research & Development,12,3,Life Sciences,Male,Healthcare Representative,2,Divorced,6288,4284,2,1,80,1,13,4,3,1,2
838,34,Research & Development,16,4,Life Sciences,Female,Research Scientist,1,Single,2553,8306,1,1,80,0,6,5,2,1,3
840,49,Sales,11,3,Marketing,Female,Sales Executive,3,Married,7654,5860,1,1,80,2,9,9,8,7,7
842,55,Sales,2,1,Medical,Male,Sales Executive,2,Single,5160,21519,4,1,80,0,12,9,7,7,3
843,43,Research & Development,14,2,Life Sciences,Male,Research Director,4,Married,17159,5200,6,1,80,1,22,4,1,1,0
844,27,Research & Development,5,1,Technical Degree,Male,Research Director,3,Divorced,12808,8842,1,1,80,1,9,9,8,0,8
845,35,Research & Development,7,3,Other,Male,Manufacturing Director,3,Single,10221,18869,3,1,80,0,17,8,5,1,6
846,28,Sales,2,4,Marketing,Female,Sales Executive,2,Married,4779,3698,1,1,80,0,8,8,7,7,5
847,34,Human Resources,3,2,Human Resources,Male,Human Resources,1,Married,3737,2243,0,1,80,1,4,3,2,0,2
848,26,Research & Development,5,2,Medical,Female,Research Scientist,1,Married,2366,20898,1,1,80,1,8,8,7,1,7
850,27,Research & Development,3,3,Medical,Male,Research Scientist,1,Married,1706,16571,1,1,80,3,0,0,0,0,0
851,51,Sales,26,4,Marketing,Female,Manager,4,Married,16307,5594,2,1,80,1,29,20,6,4,17
852,44,Research & Development,4,3,Medical,Male,Healthcare Representative,2,Single,5933,5197,9,1,80,0,10,5,2,2,3
854,25,Research & Development,2,1,Medical,Male,Research Scientist,1,Single,3424,21632,7,1,80,0,6,4,3,0,1
855,33,Sales,1,3,Medical,Male,Sales Executive,2,Divorced,4037,21816,1,1,80,1,9,9,8,0,8
856,35,Research & Development,27,1,Medical,Female,Research Scientist,1,Single,2559,17852,1,1,80,0,6,6,5,1,1
857,36,Sales,1,2,Life Sciences,Male,Sales Executive,2,Married,6201,2823,1,1,80,1,18,18,14,4,11
859,32,Sales,13,4,Life Sciences,Male,Sales Executive,2,Divorced,4403,9250,2,1,80,1,8,5,2,0,3
861,30,Research & Development,5,4,Life Sciences,Male,Research Scientist,1,Divorced,3761,2373,9,1,80,1,10,5,4,0,3
862,53,Sales,7,2,Marketing,Female,Sales Executive,3,Married,10934,20715,7,1,80,1,35,5,2,0,4
864,45,Sales,9,3,Marketing,Male,Sales Executive,3,Divorced,10761,19239,4,1,80,1,18,5,4,0,2
865,32,Research & Development,8,2,Medical,Female,Research Scientist,2,Married,5175,22162,5,1,80,1,9,5,3,1,3
867,52,Research & Development,25,4,Medical,Female,Manufacturing Director,4,Married,13826,19028,3,1,80,0,31,9,8,0,0
868,37,Sales,16,4,Marketing,Male,Sales Executive,2,Divorced,6334,24558,4,1,80,2,9,1,0,0,0
869,28,Human Resources,8,2,Medical,Male,Human Resources,1,Divorced,4936,23965,1,1,80,1,6,5,1,0,4
872,22,Research & Development,1,2,Life Sciences,Male,Manufacturing Director,2,Married,4775,19146,6,1,80,2,4,2,2,2,2
874,44,Research & Development,8,4,Life Sciences,Male,Laboratory Technician,1,Married,2818,5044,2,1,80,1,10,3,2,0,2
875,42,Research & Development,2,1,Medical,Male,Research Scientist,1,Single,2515,9068,5,1,80,0,8,2,1,2,2
878,36,Human Resources,8,3,Life Sciences,Male,Human Resources,1,Married,2342,8635,0,1,80,0,6,5,4,0,3
879,25,Sales,3,1,Other,Male,Sales Executive,2,Married,4194,14363,1,1,80,0,5,5,3,0,3
880,35,Research & Development,9,3,Life Sciences,Female,Manufacturing Director,3,Married,10685,23457,1,1,80,1,17,17,14,5,15
881,35,Research & Development,25,4,Life Sciences,Female,Research Scientist,1,Divorced,2022,16612,1,1,80,1,10,10,2,7,8
882,32,Research & Development,1,3,Life Sciences,Male,Laboratory Technician,1,Divorced,2314,9148,0,1,80,1,4,3,0,0,2
885,25,Sales,4,1,Marketing,Male,Sales Executive,2,Married,4256,18154,1,1,80,0,5,5,2,0,3
887,49,Research & Development,1,3,Technical Degree,Female,Research Scientist,1,Married,3580,10554,2,1,80,1,7,4,2,0,2
888,24,Research & Development,4,1,Life Sciences,Male,Laboratory Technician,1,Married,3162,10778,0,1,80,0,6,5,2,3,4
889,32,Sales,5,2,Life Sciences,Male,Sales Executive,2,Married,6524,8891,1,1,80,1,10,10,8,5,3
893,38,Sales,9,3,Marketing,Male,Sales Representative,1,Married,2899,12102,0,1,80,1,3,2,2,1,2
894,42,Research & Development,3,3,Life Sciences,Female,Laboratory Technician,2,Married,5231,23726,2,1,80,1,17,5,3,1,3
895,31,Research & Development,11,4,Life Sciences,Male,Research Scientist,1,Married,2356,14871,3,1,80,1,8,6,4,0,2
896,29,Sales,1,3,Medical,Female,Sales Representative,1,Divorced,2800,23522,6,1,80,3,5,3,2,0,2
897,53,Sales,8,3,Marketing,Male,Sales Executive,4,Married,11836,22789,5,1,80,1,28,2,0,2,2
899,35,Research & Development,25,3,Technical Degree,Male,Manufacturing Director,3,Married,10903,9129,3,1,80,0,16,13,10,4,8
900,37,Sales,21,2,Medical,Female,Sales Representative,1,Married,2973,21222,5,1,80,1,10,5,4,0,0
901,53,Research & Development,23,4,Life Sciences,Female,Research Director,4,Single,14275,20206,6,1,80,0,33,12,9,3,8
902,43,Research & Development,1,3,Life Sciences,Female,Healthcare Representative,2,Married,5562,21782,4,1,80,1,12,5,2,2,2
903,47,Sales,2,2,Marketing,Female,Sales Executive,2,Married,4537,17783,0,1,80,1,8,7,6,7,7
904,37,Sales,19,2,Medical,Male,Sales Executive,3,Single,7642,4814,1,1,80,0,10,10,0,0,9
905,50,Research & Development,2,4,Life Sciences,Male,Manager,4,Divorced,17924,4544,1,1,80,1,31,31,6,14,7
909,39,Human Resources,2,3,Life Sciences,Female,Human Resources,2,Married,5204,7790,8,1,80,2,13,5,4,0,4
910,33,Human Resources,3,2,Human Resources,Male,Human Resources,1,Divorced,2277,22650,3,1,80,1,7,4,3,0,3
911,32,Research & Development,25,4,Life Sciences,Male,Laboratory Technician,1,Single,2795,18016,1,1,80,0,1,1,0,0,1
912,29,Research & Development,7,1,Medical,Female,Laboratory Technician,1,Divorced,2532,6054,6,1,80,3,8,4,3,0,3
913,44,Research & Development,9,2,Life Sciences,Male,Research Scientist,1,Married,2559,7508,1,1,80,0,8,8,7,7,1
916,28,Sales,5,4,Medical,Male,Sales Executive,2,Single,4908,24252,1,1,80,0,4,4,2,0,2
918,58,Research & Development,2,1,Life Sciences,Male,Laboratory Technician,1,Divorced,2380,13384,9,1,80,1,3,1,0,0,0
920,43,Research & Development,8,3,Life Sciences,Female,Manufacturing Director,2,Divorced,4765,23814,4,1,80,1,4,1,0,0,0
922,20,Sales,2,3,Medical,Female,Sales Representative,1,Single,2044,22052,1,1,80,0,2,2,2,0,2
923,21,Research & Development,18,1,Other,Female,Research Scientist,1,Single,2693,8870,1,1,80,0,1,1,0,0,0
924,36,Research & Development,14,1,Life Sciences,Male,Healthcare Representative,2,Married,6586,4821,0,1,80,1,17,16,8,4,11
925,47,Sales,2,4,Life Sciences,Female,Sales Representative,1,Single,3294,13137,1,1,80,0,3,3,2,1,2
926,22,Research & Development,3,1,Life Sciences,Female,Manufacturing Director,2,Married,4171,10022,0,1,80,1,4,3,2,0,2
927,41,Research & Development,2,4,Life Sciences,Female,Laboratory Technician,1,Divorced,2778,17725,4,1,80,1,10,7,7,1,0
930,28,Research & Development,9,3,Medical,Female,Research Scientist,1,Divorced,2377,9834,5,1,80,1,6,2,2,2,2
932,39,Research & Development,6,3,Medical,Male,Laboratory Technician,1,Married,2404,4303,7,1,80,0,8,2,2,2,2
933,27,Research & Development,4,3,Life Sciences,Female,Research Scientist,1,Single,2318,17808,1,1,80,0,1,1,1,0,0
934,34,Research & Development,10,3,Life Sciences,Male,Laboratory Technician,1,Divorced,2008,6896,1,1,80,2,1,1,0,1,0
936,42,Sales,14,2,Medical,Female,Sales Executive,2,Single,6244,7824,7,1,80,0,10,5,4,0,3
939,33,Research & Development,1,4,Other,Male,Research Scientist,1,Single,2799,3339,3,1,80,0,6,3,2,0,2
940,58,Research & Development,5,3,Technical Degree,Female,Healthcare Representative,3,Divorced,10552,9255,2,1,80,1,24,6,0,0,4
941,31,Sales,7,4,Life Sciences,Male,Sales Representative,1,Married,2329,11737,3,1,80,0,13,7,7,5,2
942,35,Research & Development,21,1,Life Sciences,Female,Healthcare Representative,2,Married,4014,19170,1,1,80,1,10,10,6,0,7
944,49,Research & Development,8,2,Other,Female,Laboratory Technician,3,Married,7403,22477,4,1,80,1,29,26,9,1,7
945,48,Research & Development,20,4,Medical,Male,Research Scientist,1,Married,2259,5543,4,1,80,2,13,0,0,0,0
947,31,Sales,20,2,Marketing,Female,Sales Executive,2,Married,6932,24406,1,1,80,1,9,9,8,0,0
949,36,Research & Development,7,4,Other,Male,Research Scientist,1,Single,4678,23293,2,1,80,0,8,6,2,0,1
950,38,Research & Development,1,3,Technical Degree,Female,Research Director,3,Married,13582,16292,1,1,80,1,15,15,12,5,11
951,32,Research & Development,1,3,Life Sciences,Female,Laboratory Technician,1,Married,2332,3974,6,1,80,0,5,3,0,0,2
952,25,Sales,19,2,Marketing,Male,Sales Representative,1,Married,2413,18798,1,1,80,3,1,1,0,0,0
954,40,Sales,10,4,Marketing,Male,Sales Executive,3,Divorced,9705,20652,2,1,80,1,11,1,0,0,0
956,26,Sales,1,3,Medical,Male,Sales Executive,2,Single,4294,11148,1,1,80,0,7,7,7,0,7
957,41,Research & Development,6,3,Medical,Male,Laboratory Technician,1,Single,4721,3119,2,1,80,0,20,18,13,2,17
958,36,Research & Development,2,4,Medical,Male,Laboratory Technician,1,Single,2519,12287,4,1,80,0,16,11,8,3,9
959,19,Sales,21,3,Other,Male,Sales Representative,1,Single,2121,9947,1,1,80,0,1,1,0,0,0
960,20,Research & Development,4,3,Technical Degree,Male,Laboratory Technician,1,Single,2973,13008,1,1,80,0,1,1,0,0,0
961,31,Research & Development,12,3,Medical,Female,Healthcare Representative,2,Married,5855,17369,0,1,80,2,10,9,7,8,5
964,40,Research & Development,9,4,Medical,Male,Research Scientist,1,Divorced,3617,25063,8,1,80,1,3,1,1,0,0
966,32,Research & Development,3,4,Medical,Female,Manufacturing Director,2,Married,6725,13554,1,1,80,1,8,8,7,6,3
967,36,Sales,3,1,Life Sciences,Male,Sales Executive,3,Married,10325,5518,1,1,80,1,16,16,7,3,7
969,33,Research & Development,1,3,Life Sciences,Female,Healthcare Representative,2,Single,6949,12291,0,1,80,0,6,5,0,1,4
970,37,Sales,1,4,Life Sciences,Male,Sales Executive,3,Married,10609,14922,5,1,80,0,17,14,1,11,7
972,45,Research & Development,4,2,Life Sciences,Male,Laboratory Technician,2,Married,4447,23163,1,1,80,0,9,9,7,0,8
974,29,Sales,20,3,Technical Degree,Female,Sales Representative,1,Married,2157,18203,1,1,80,1,3,3,1,0,2
975,35,Sales,18,3,Medical,Female,Sales Executive,2,Married,4601,6179,1,1,80,0,5,5,2,1,0
976,52,Research & Development,1,2,Life Sciences,Male,Manager,4,Married,17099,13829,2,1,80,1,26,9,8,7,8
977,58,Research & Development,2,3,Technical Degree,Male,Research Scientist,1,Single,2479,26227,4,1,80,0,7,1,0,0,0
981,53,Sales,2,2,Medical,Male,Manager,4,Divorced,14852,13938,6,1,80,1,22,17,13,15,2
982,30,Sales,8,2,Other,Male,Sales Executive,3,Divorced,7264,9977,5,1,80,1,10,8,4,7,7
